Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.85
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
201601,2025-04-09 15:28:24.158,-0.79039,28.9
202081,2025-04-09 15:28:24.163,-0.36545,28.95
202561,2025-04-09 15:28:24.168,0.74212,28.99
203041,2025-04-09 15:28:24.173,0.45965,29.04
203521,2025-04-09 15:28:24.178,-0.68654,29.08
204001,2025-04-09 15:28:24.183,-0.53906,29.13
204481,2025-04-09 15:28:24.188,0.6274,29.17
204961,2025-04-09 15:28:24.193,0.60455,29.22
205441,2025-04-09 15:28:24.198,-0.56787,29.26
205921,2025-04-09 15:28:24.203,-0.65742,29.31
206401,2025-04-09 15:28:24.208,0.51054,29.35
206881,2025-04-09 15:28:24.213,0.69919,29.4
207361,2025-04-09 15:28:24.218,-0.45745,29.44
207841,2025-04-09 15:28:24.223,-0.73144,29.49
208321,2025-04-09 15:28:24.228,0.41017,29.53
208801,2025-04-09 15:28:24.233,0.75573,29.58
209281,2025-04-09 15:28:24.238,-0.36984,29.62
209761,2025-04-09 15:28:24.243,-0.77344,29.67
210241,2025-04-09 15:28:24.248,0.33731,29.71
210721,2025-04-09 15:28:24.253,0.78577,29.76
211201,2025-04-09 15:28:24.258,-0.31313,29.8
211681,2025-04-09 15:28:24.263,-0.79366,29.85
212161,2025-04-09 15:28:24.268,0.29768,29.89
212641,2025-04-09 15:28:24.273,0.79779,29.94
213121,2025-04-09 15:28:24.278,-0.29117,29.98
213601,2025-04-09 15:28:24.283,-0.79853,30.03
214081,2025-04-09 15:28:24.288,0.29368,30.07
214561,2025-04-09 15:28:24.293,0.79593,30.12
215041,2025-04-09 15:28:24.298,-0.30518,30.16
215521,2025-04-09 15:28:24.303,-0.78977,30.21
216001,2025-04-09 15:28:24.308,0.32552,30.25
216481,2025-04-09 15:28:24.313,0.77951,30.3
216961,2025-04-09 15:28:24.318,-0.35439,30.34
217441,2025-04-09 15:28:24.323,-0.76432,30.39
217921,2025-04-09 15:28:24.328,0.39135,30.43
218401,2025-04-09 15:28:24.333,0.74312,30.48
218881,2025-04-09 15:28:24.338,-0.43566,30.52
219361,2025-04-09 15:28:24.343,-0.71459,30.57
219841,2025-04-09 15:28:24.348,0.48634,30.61
220321,2025-04-09 15:28:24.353,0.67724,30.66
220801,2025-04-09 15:28:24.358,-0.54201,30.7
221281,2025-04-09 15:28:24.363,-0.6295,30.75
221761,2025-04-09 15:28:24.368,0.60085,30.79
222241,2025-04-09 15:28:24.373,0.56978,30.84
222721,2025-04-09 15:28:24.378,-0.66052,30.88
223201,2025-04-09 15:28:24.383,-0.49669,30.93
223681,2025-04-09 15:28:24.388,0.71811,30.97
224161,2025-04-09 15:28:24.393,0.40913,31.02
224641,2025-04-09 15:28:24.398,-0.77013,31.06
