Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
182,2025-04-09 16:44:41.534,25.019,516.63,35.2
187,2025-04-09 16:44:41.660,-127.28,526.15,35.39
183,2025-04-09 16:44:41.663,-116.234,948.05,35.39
184,2025-04-09 16:44:41.811,3.683,657.76,35.39
188,2025-04-09 16:44:41.812,-28.259,906.95,35.39
189,2025-04-09 16:44:42.061,24.988,849.9,35.42
185,2025-04-09 16:44:42.063,-26.415,1002.95,35.42
190,2025-04-09 16:44:42.293,25.062,1002.9,35.41
186,2025-04-09 16:44:42.297,25.028,1002.9,35.41
191,2025-04-09 16:44:42.461,25.026,829.66,35.39
187,2025-04-09 16:44:42.463,-16.588,1002.93,35.39
188,2025-04-09 16:44:42.611,-2.46,650.61,35.38
192,2025-04-09 16:44:42.612,-28.259,906.97,35.38
193,2025-04-09 16:44:42.897,24.961,526.34,35.41
189,2025-04-09 16:44:42.899,-127.28,948.12,35.41
190,2025-04-09 16:44:43.011,-10.446,641.4,35.37
194,2025-04-09 16:44:43.012,-28.259,906.99,35.37
191,2025-04-09 16:44:43.213,-8.603,643.51,35.4
195,2025-04-09 16:44:43.214,-28.259,907.01,35.4
192,2025-04-09 16:44:43.459,24.99,616.39,35.39
196,2025-04-09 16:44:43.467,-31.499,1002.9,35.39
197,2025-04-09 16:44:43.650,24.997,1002.9,35.39
193,2025-04-09 16:44:43.700,24.995,1002.9,35.15
198,2025-04-09 16:44:43.815,25.021,823.31,35.37
194,2025-04-09 16:44:43.817,-17.816,1002.9,35.37
199,2025-04-09 16:44:44.094,25.009,1552.29,35.42
195,2025-04-09 16:44:44.096,24.937,1002.87,35.42
200,2025-04-09 16:44:44.262,24.99,1002.9,35.38
196,2025-04-09 16:44:44.340,25.023,1002.89,35.31
197,2025-04-09 16:44:44.413,25.055,1002.89,35.25
201,2025-04-09 16:44:44.461,25.055,1002.87,35.13
202,2025-04-09 16:44:44.666,25.05,840.38,35.38
198,2025-04-09 16:44:44.668,-25.8,1002.92,35.38
199,2025-04-09 16:44:44.865,25.014,832.44,35.38
203,2025-04-09 16:44:44.866,-22.116,1002.91,35.38
200,2025-04-09 16:44:45.013,25.028,1002.88,35.38
204,2025-04-09 16:44:45.062,25.028,1002.9,35.14
